Code client SAP;Code client Generix
0000206792;20004031
0000206793;20004032
0000206794;20007001
0000206540;20009002
0000206541;20020001
0000206542;20033006
0000206543;20033016
0000206544;20033019
0000206545;20033022
0000206546;20033024
0000206547;20033025
0000206548;20033026
0000900012;20033116
0000206549;20034001
0000206550;20037005
0000206551;20037007
0000206552;20037008
0000206553;20037009
0000206554;20037010
0000206555;20041002
0000206556;20041003
0000206557;20042005
0000206558;20042006
0000206559;20042007
0000206560;20042008
0000206561;20050004
0000206562;20050006
0000206563;20050007
0000206564;20065001
0000206565;20090002
0000206566;20096001
0000206567;20120001
0000206568;20120002
0000206569;20123001
0000206570;20123002
0000206571;20123003
0000207921;20123004
0000206572;20123006
0000206573;20130001
0000206574;20134001
0000206575;20134004
0000206576;20139001
0000206577;20168001
0000206578;20169001
0000206579;20185001
0000206580;20207006
0000206581;20215002
0000206582;20228001
0000206583;20247002
0000206584;20247007
0000206585;20247008
0000206586;20247009
0000206587;20247010
0000206588;20247011
0000206589;20247012
0000206590;20247013
0000206591;20247014
0000206592;20247015
0000206593;20247016
0000206594;20247017
0000206595;20247018
0000206596;20247019
0000206597;20249002
0000206598;20249003
0000206599;20249004
0000206600;20298002
0000206601;20307001
0000206602;20313003
0000206603;20313004
0000206604;20342001
0000206605;21021001
0000206606;21038002
0000206607;21038003
0000206608;21054002
0000206609;21054004
0000206610;21054007
0000206611;21054008
0000206612;21054009
0000206613;21054012
0000206614;21110001
0000206615;21154001
0000206616;21154005
0000206617;21166005
0000206618;21166301
0000206619;21171002
0000206620;21196001
0000206621;21231001
0000206622;21231002
0000206623;21231010
0000900013;21231012
0000206624;21231013
0000206625;21231015
0000206626;21231018
0000206627;21231023
0000206628;21231024
0000206629;21231025
0000206630;21231026
0000206631;21231027
0000206632;21231120
0000206633;21231122
0000206634;21231123
0000206635;21231124
0000206636;21231126
0000206637;21231127
0000206638;21241001
0000206639;21241002
0000206640;21277001
0000206641;21278001
0000206642;21278002
0000206643;21292004
0000206644;21317002
0000206645;21355002
0000206646;21355006
0000206647;21355007
0000206648;21355008
0000206649;21390002
0000206650;21390005
0000206651;21416001
0000206652;21425001
0000206653;21425005
0000206654;21464001
0000206655;21464002
0000206656;21475001
0000206657;21481001
0000206658;21501005
0000206659;21515004
0000206660;21515103
0000206661;21540002
0000206662;21540003
0000206664;21540004
0000206414;21577002
0000206415;21603002
0000206416;21603004
0000206417;21603005
0000206418;21605001
0000206419;21607002
0000206420;21611001
0000206421;21617004
0000206422;21617005
0000206423;21663004
0000206424;22004003
0000206425;22007001
0000206426;22020002
0000206427;22020004
0000206428;22025001
0000206429;22032001
0000206430;22054001
0000206431;22055002
0000206432;22070003
0000206433;22070007
0000206434;22070008
0000206435;22093001
0000206436;22093003
0000206437;22093004
0000206438;22093005
0000206439;22113001
0000206440;22113003
0000206441;22113006
0000206442;22113007
0000206443;22113010
0000206444;22118001
0000206445;22118003
0000206446;22118004
0000206447;22121001
0000206448;22123002
0000206449;22135001
0000206450;22135002
0000206451;22136001
0000206452;22136006
0000206453;22136007
0000206454;22143001
0000206455;22147001
0000206456;22152002
0000206457;22152003
0000206458;22158001
0000206459;22162002
0000206460;22162006
0000206461;22166004
0000206462;22171001
0000206463;22172006
0000206464;22176001
0000206465;22180002
0000206466;22183002
0000206467;22185001
0000206468;22186001
0000206469;22187002
0000206470;22194003
0000206471;22195002
0000206472;22203001
0000206473;22206001
0000206474;22207004
0000206475;22209003
0000206476;22211002
0000206477;22213002
0000206478;22214002
0000206479;22215001
0000206480;22215101
0000206487;22219001
0000206488;22222001
0000206489;22224001
0000206490;22225002
0000206491;22237001
0000206492;22250001
0000206493;22251001
0000206494;22258002
0000206495;22259004
0000206496;22262002
0000206497;22266003
0000206498;22266004
0000206499;22272001
0000206500;22277001
0000206501;22278004
0000206502;22278007
0000206503;22278008
0000206504;22278011
0000900014;22278116
0000206505;22278117
0000206506;22302001
0000206507;22321001
0000206508;22324001
0000206509;22339001
0000206510;22343001
0000206511;22353002
0000206512;22360001
0000900015;22367116
0000206513;22372001
0000206514;22372002
0000206515;22389002
0000206516;23001001
0000206517;23008001
0000206518;23008002
0000206519;23013001
0000206520;23025002
0000206521;23030001
0000206522;23031001
0000206523;23075001
0000206524;23079002
0000206525;23093002
0000206526;23096001
0000206527;23096004
0000206528;23096011
0000206529;23176001
0000206530;23176003
0000206531;24028001
0000206532;24037002
0000206533;24037003
0000206534;24037004
0000206535;24037006
0000206536;24037008
0000206537;24037016
0000206538;24053003
0000206539;24053004
0000206289;24064001
0000206290;24067004
0000206291;24102001
0000206292;24138001
0000206293;24145004
0000206294;24145005
0000206295;24210001
0000206296;24223001
0000206297;24250001
0000206298;24256001
0000206299;24291005
0000206300;24294002
0000206301;24294003
0000900016;24294116
0000206302;24309001
0000206303;24311001
0000206304;24311002
0000206305;24312001
0000206306;24322002
0000206307;24322117
0000206308;24322119
0000206309;24322120
0000206310;24328001
0000206311;24340001
0000206312;24352001
0000206313;24352003
0000206314;24352004
0000206315;24354001
0000206316;24372002
0000206317;24396002
0000206318;24448002
0000206319;24462001
0000206320;24462003
0000206321;24479002
0000206322;24516002
0000206323;24520002
0000206324;24520004
0000206325;24520007
0000206326;24527003
0000206327;24527004
0000206328;24527007
0000206329;24538004
0000206330;24547001
0000206331;24551001
0000206332;24551010
0000206333;24553001
0000206334;24557002
0000206335;24557004
0000206336;24571004
0000206337;25031001
0000206338;25031002
0000206339;25031004
0000206340;25047001
0000206341;25047002
0000206342;25056012
0000206343;25056014
0000206344;25056015
0000206345;25056018
0000206346;25056023
0000206347;25056024
0000206348;25056025
0000206349;25056029
0000206350;25056031
0000206351;25056117
0000900017;25056119
0000206352;25056121
0000206353;25056126
0000206354;25112003
0000206355;25186001
0000206356;25190001
0000206357;25200001
0000206358;25204001
0000206359;25240001
0000206360;25259001
0000206361;25304001
0000206362;25304004
0000206363;25307001
0000206364;25309001
0000206365;25315001
0000206366;25321002
0000206367;25356001
0000206368;25356002
0000206369;25367002
0000206370;25368001
0000206371;25388004
0000206372;25388005
0000206373;25388007
0000206374;25388011
0000206375;25388020
0000206376;25411001
0000206377;25411003
0000206378;25411004
0000206379;25432002
0000206380;25434003
0000206381;25462001
0000206382;25462008
0000206383;25462009
0000206384;25463001
0000206385;25467001
0000206386;25475001
0000206387;25495001
0000206388;25505002
0000206389;25512001
0000206390;25526001
0000206391;25527002
0000206392;25527003
0000206393;25527005
0000206394;25527006
0000206395;25532000
0000206396;25547003
0000206397;25578001
0000206398;25578002
0000206399;25578003
0000206400;26010002
0000206401;26011001
0000206402;26037001
0000206403;26054001
0000206404;26057003
0000206405;26057004
0000206406;26057014
0000206407;26058003
0000206408;26063003
0000206409;26064001
0000206410;26065001
0000206411;26065002
0000206412;26078002
0000206413;26085001
0000206165;26113001
0000206166;26113002
0000206167;26114001
0000206168;26116001
0000206169;26116002
0000206170;26124001
0000206171;26139001
0000206172;26146002
